epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,1423.87,1.45392,0.66336,0.86666,0.56758,0.38277,0.38439,0.17702,2.1322,2.55363,1.03012,0.03515,0.03515,0.03515
92,1439.45,1.47815,0.66497,0.86399,0.55221,0.39228,0.4121,0.17922,2.07713,2.53867,1.01661,0.034985,0.034985,0.034985
93,1455.05,1.43006,0.64641,0.86065,0.53843,0.39247,0.38485,0.17769,2.075,2.42514,1.01476,0.03482,0.03482,0.03482
94,1470.56,1.43623,0.64458,0.86814,0.57134,0.42635,0.42784,0.18713,2.14874,2.39077,1.02688,0.034655,0.034655,0.034655
95,1486.22,1.41036,0.64278,0.86292,0.44955,0.42131,0.38259,0.1694,2.08924,2.495,1.01405,0.03449,0.03449,0.03449
96,1501.7,1.42668,0.64407,0.86435,0.58204,0.35555,0.36905,0.15523,2.15138,2.62726,1.02539,0.034325,0.034325,0.034325
97,1517.18,1.38465,0.63454,0.85654,0.47623,0.36223,0.35132,0.15923,2.10775,2.72378,1.02056,0.03416,0.03416,0.03416
98,1532.85,1.40561,0.63205,0.85818,0.54089,0.3677,0.37454,0.16769,2.10772,2.50093,1.02813,0.033995,0.033995,0.033995
99,1548.5,1.39515,0.6256,0.86159,0.60047,0.34886,0.36391,0.1613,2.20107,2.70273,1.04054,0.03383,0.03383,0.03383
100,1564.1,1.40793,0.63588,0.8553,0.49715,0.4051,0.39834,0.17986,2.07827,2.42036,1.00363,0.033665,0.033665,0.033665
101,1579.63,1.38267,0.63493,0.85864,0.42125,0.42538,0.35809,0.15605,2.09336,2.47908,1.01028,0.0335,0.0335,0.0335
102,1595.49,1.39511,0.62278,0.8587,0.55071,0.38306,0.39941,0.18162,2.16763,2.44333,1.03069,0.033335,0.033335,0.033335
103,1611.19,1.39255,0.63009,0.853,0.51471,0.3796,0.37041,0.17679,2.07933,2.52512,1.01064,0.03317,0.03317,0.03317
104,1626.63,1.36441,0.62202,0.85707,0.48451,0.41696,0.395,0.17988,2.09929,2.33536,1.01912,0.033005,0.033005,0.033005
105,1642.13,1.39561,0.62873,0.85628,0.52149,0.41836,0.41927,0.18984,2.14341,2.41861,1.03923,0.03284,0.03284,0.03284
106,1657.63,1.38332,0.62087,0.85623,0.4795,0.35709,0.352,0.1611,2.12671,2.65625,1.02413,0.032675,0.032675,0.032675
107,1673.16,1.37957,0.61289,0.85177,0.44247,0.46278,0.41382,0.18529,2.16453,2.54781,1.01969,0.03251,0.03251,0.03251
108,1688.61,1.38722,0.60962,0.85558,0.54729,0.40723,0.40021,0.17644,2.11272,2.4894,1.01625,0.032345,0.032345,0.032345
109,1704.01,1.38109,0.6229,0.85769,0.46335,0.38473,0.37544,0.16453,2.17519,2.56476,1.0391,0.03218,0.03218,0.03218
110,1719.39,1.3911,0.62628,0.85669,0.52042,0.40335,0.40361,0.1763,2.14116,2.50171,1.0379,0.032015,0.032015,0.032015
111,1735.21,1.36137,0.60324,0.84974,0.49284,0.37627,0.36077,0.17168,2.10662,2.62161,1.02489,0.03185,0.03185,0.03185
