epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2626.08,1.72627,0.83382,0.91607,0.47493,0.41539,0.396,0.17557,2.3235,2.66742,1.0716,0.03548,0.03548,0.03548
90,2655.32,1.74498,0.83415,0.9153,0.62412,0.40573,0.42344,0.18118,2.35386,2.38238,1.067,0.035315,0.035315,0.035315
91,2684.73,1.73774,0.8381,0.91924,0.6794,0.36938,0.43281,0.19581,2.24654,2.50999,1.04936,0.03515,0.03515,0.03515
92,2714,1.69482,0.81489,0.90577,0.50137,0.41508,0.41913,0.16533,2.3742,2.40982,1.08499,0.034985,0.034985,0.034985
93,2743.39,1.73343,0.81757,0.9023,0.6522,0.37225,0.41647,0.16088,2.35751,2.45202,1.08221,0.03482,0.03482,0.03482
94,2772.69,1.68797,0.82487,0.90545,0.48227,0.42466,0.40606,0.17698,2.34061,2.5909,1.07634,0.034655,0.034655,0.034655
95,2802.1,1.6884,0.81873,0.90781,0.48576,0.42427,0.39818,0.15302,2.3579,2.7058,1.08205,0.03449,0.03449,0.03449
96,2831.56,1.69308,0.81628,0.9086,0.55595,0.44057,0.4378,0.16126,2.41043,2.33748,1.09436,0.034325,0.034325,0.034325
97,2861.02,1.70313,0.83382,0.90769,0.55459,0.35836,0.39201,0.16758,2.31511,2.53231,1.07223,0.03416,0.03416,0.03416
98,2890.36,1.67533,0.80697,0.90298,0.61514,0.42083,0.42168,0.17475,2.35508,2.50554,1.08386,0.033995,0.033995,0.033995
99,2919.71,1.67553,0.79831,0.90447,0.49221,0.43482,0.4176,0.17231,2.36269,2.51574,1.07399,0.03383,0.03383,0.03383
100,2949.09,1.67342,0.80998,0.90045,0.47917,0.42596,0.41148,0.16266,2.34605,2.53631,1.07047,0.033665,0.033665,0.033665
101,2978.62,1.64677,0.79475,0.90415,0.55253,0.40389,0.4052,0.17399,2.31937,2.58283,1.06659,0.0335,0.0335,0.0335
102,3007.95,1.68563,0.79794,0.9012,0.55798,0.42147,0.41479,0.17784,2.2819,2.55979,1.0558,0.033335,0.033335,0.033335
103,3037.26,1.67693,0.7969,0.89239,0.56618,0.41987,0.41649,0.16181,2.33212,2.47676,1.07161,0.03317,0.03317,0.03317
104,3066.67,1.6861,0.80208,0.90433,0.50192,0.45151,0.43832,0.18183,2.28454,2.59969,1.07061,0.033005,0.033005,0.033005
105,3096.01,1.65082,0.78549,0.90181,0.51381,0.36842,0.37391,0.14487,2.40868,2.695,1.09247,0.03284,0.03284,0.03284
106,3125.3,1.64104,0.78026,0.89826,0.549,0.40499,0.41414,0.17255,2.30922,2.4719,1.06201,0.032675,0.032675,0.032675
107,3154.75,1.63946,0.77928,0.89516,0.62073,0.40009,0.43799,0.17447,2.31519,2.48476,1.06416,0.03251,0.03251,0.03251
108,3184.07,1.671,0.79264,0.9042,0.58227,0.39479,0.41412,0.17657,2.30984,2.37071,1.06167,0.032345,0.032345,0.032345
109,3213.37,1.64525,0.7904,0.89987,0.58124,0.413,0.4298,0.17799,2.30206,2.30852,1.05777,0.03218,0.03218,0.03218
110,3242.67,1.63321,0.77331,0.90843,0.61114,0.43066,0.46224,0.19015,2.27713,2.23156,1.05951,0.032015,0.032015,0.032015
111,3271.9,1.6519,0.7823,0.89622,0.6155,0.38497,0.41022,0.17981,2.3101,2.54605,1.06419,0.03185,0.03185,0.03185
112,3301.15,1.63704,0.77806,0.89672,0.55738,0.4057,0.42908,0.18596,2.2912,2.47473,1.05807,0.031685,0.031685,0.031685
113,3330.34,1.6525,0.78642,0.89803,0.64427,0.43808,0.46294,0.18351,2.31501,2.21139,1.05717,0.03152,0.03152,0.03152
114,3359.78,1.63288,0.76809,0.8984,0.58672,0.3529,0.39628,0.16036,2.36598,2.49297,1.08169,0.031355,0.031355,0.031355
115,3389.08,1.6608,0.76539,0.89831,0.54607,0.39775,0.41455,0.17256,2.36757,2.46269,1.07465,0.03119,0.03119,0.03119
116,3418.39,1.59176,0.7537,0.8967,0.54418,0.42228,0.42279,0.18524,2.31124,2.36696,1.06416,0.031025,0.031025,0.031025
117,3447.6,1.60451,0.75668,0.89219,0.52655,0.42587,0.42517,0.18149,2.23499,2.32632,1.05472,0.03086,0.03086,0.03086
118,3476.83,1.61351,0.75321,0.89323,0.54489,0.38265,0.39638,0.16773,2.29842,2.57586,1.06505,0.030695,0.030695,0.030695
119,3506.03,1.60435,0.75842,0.8921,0.59197,0.39107,0.42129,0.17126,2.30541,2.55119,1.06693,0.03053,0.03053,0.03053
120,3535.22,1.59375,0.75445,0.88606,0.61229,0.40874,0.43441,0.18962,2.23951,2.47136,1.04939,0.030365,0.030365,0.030365
121,3564.37,1.58055,0.75348,0.89035,0.62763,0.40558,0.4368,0.1759,2.28668,2.63402,1.06263,0.0302,0.0302,0.0302
122,3593.63,1.60737,0.77071,0.89056,0.53675,0.39796,0.41033,0.16357,2.26855,2.50878,1.05359,0.030035,0.030035,0.030035
123,3623.21,1.5733,0.74645,0.89137,0.60512,0.41444,0.43264,0.1851,2.27043,2.48012,1.06369,0.02987,0.02987,0.02987
124,3652.52,1.59716,0.75393,0.88285,0.55366,0.40661,0.3984,0.17855,2.29532,2.58076,1.0677,0.029705,0.029705,0.029705
125,3682.05,1.60593,0.74936,0.89065,0.52174,0.4171,0.4116,0.17551,2.26248,2.47566,1.05534,0.02954,0.02954,0.02954
126,3711.42,1.54751,0.73499,0.88008,0.52844,0.44112,0.41278,0.17346,2.31003,2.45818,1.05931,0.029375,0.029375,0.029375
127,3740.87,1.55217,0.7382,0.89003,0.53663,0.42698,0.41667,0.17546,2.31666,2.59934,1.0647,0.02921,0.02921,0.02921
128,3770.59,1.5738,0.74585,0.88345,0.56296,0.40613,0.40282,0.1717,2.30653,2.5196,1.06293,0.029045,0.029045,0.029045
129,3799.95,1.58142,0.74949,0.88392,0.57592,0.4098,0.42759,0.18269,2.26182,2.51392,1.04503,0.02888,0.02888,0.02888
130,3829.27,1.58988,0.74557,0.88383,0.65534,0.41794,0.45096,0.19871,2.26745,2.36901,1.0517,0.028715,0.028715,0.028715
131,3858.64,1.55678,0.73759,0.8854,0.4705,0.43199,0.39888,0.16427,2.32915,2.44129,1.07123,0.02855,0.02855,0.02855
132,3887.97,1.60038,0.75031,0.8819,0.55025,0.43548,0.42632,0.17979,2.26619,2.39536,1.06205,0.028385,0.028385,0.028385
133,3917.33,1.54992,0.72411,0.88073,0.54259,0.42411,0.41043,0.16675,2.29333,2.72184,1.05838,0.02822,0.02822,0.02822
134,3946.65,1.57658,0.73158,0.877,0.55973,0.40955,0.42107,0.18375,2.20478,2.52,1.04117,0.028055,0.028055,0.028055
